name,count
faraoc,618655
hybapr,374472
tri2tu,274647
alsebl,198040
des2pa,139965
pri2co,131145
hirttr,116288
tet2pa,109159
oenoma,107824
quaras,104809
tab2ar,94916
virose,83557
mourmy,80941
jac1co,74015
cordbi,69783
beilpe,69626
poular,66612
protpa,61649
simaam,61511
cecrin,55065
swars2,54974
gar2in,52553
cou2cu,52453
protte,51351
poutre,50791
socrex,49344
tachve,49339
soroaf,48875
guatdu,46463
eugeoe,45238
swars1,44773
apeime,43133
brosal,43128
heisco,37227
zantbe,35356
cordla,35290
guargu,35137
maquco,35068
randar,32251
pterro,31082
loncla,30602
hassfl,29714
cappfr,28696
gustsu,28532
psycho,28459
cassel,28031
rinosy,26128
unonpi,25077
laciag,23912
virosu,23453
calolo,23245
cupasy,22798
ceibpe,22021
drypst,21233
luehse,20860
alchco,19650
ingaum,19108
chr2ar,19092
protco,19088
ocotwh,18713
dendar,18037
eugega,17730
guapst,17506
casear,16963
anaxpa,16798
tri2pa,16564
ingama,15598
guarsp,15016
pla1pi,14617
micoar,14581
pla2el,14281
ingaqu,14025
sponra,13994
eugeco,13954
crotbi,13841
ast1st,13564
xyl1ma,13423
anacex,13351
laetth,13170
paligu,13086
sloate,12866
ouralu,12653
huracr,12001
zantp1,11945
sponmo,11495
micoaf,11340
hyeral,11079
eugene,11054
diptpa,10989
tripcu,10829
perexa,10692
picrla,10585
guetfo,10447
ingasa,10287
ingago,10172
cha2sc,10109
cordal,10018
tab1ro,9823
termam,9712
nectci,9618
malmsp,9542
ingath,9414
tratas,8763
herrpu,8746
coccma,8652
aspicr,8585
ast2gr,8533
tab1gu,8303
stylst,8218
gar2ma,7705
elaeol,7665
annoac,7538
lindla,7244
ingas1,6964
chr1ec,6935
zantpr,6634
lacmpa,6513
casesy,6455
caseac,6404
cecrob,6321
ocotce,6177
sch1zo,5982
psycma,5910
ocotob,5776
chr2ca,5649
alibed,5645
ocotpu,5589
andiin,5562
tropra,5540
sterap,5505
turpoc,5457
guazul,5329
ficuob,5327
poutst,5252
acaldi,5193
celtsc,5168
ery1co,4954
talipr,4892
sympgl,4798
pourbi,4798
sipapa,4417
ade1tr,4249
pentma,4239
annosp,4182
allops,4173
micone,4147
phoeci,4130
coccco,4073
taline,4031
bactma,3982
laetpr,3903
pipere,3634
ery2ma,3496
aegipa,3350
licahy,3254
maytsc,3075
sapiau,3056
dio2ar,2957
guargr,2928
olmeas,2895
geniam,2875
ficuyo,2837
ingafa,2832
pse1se,2766
sipacr,2763
termob,2757
micoho,2701
ingaun,2684
ficuto,2493
nectpu,2474
thevah,2450
posola,2449
heisac,2417
vochfe,2378
virosp,2336
ingasp,2207
apeiti,2112
xyl2ol,2106
cuparu,2089
ormoma,2085
tremsp,2063
nectgl,1990
ficupo,1953
ingaco,1941
tet4jo,1909
licapl,1740
ochrpy,1715
acalma,1710
lafopu,1677
solaha,1615
hampap,1582
ficuc2,1525
pit1ma,1503
vismba,1487
cupala,1409
tocopi,1380
ery2pa,1369
spacme,1363
ficuin,1293
quasam,1285
myrofr,1256
ingapu,1252
myrcga,1137
cavapl,1056
caseco,1050
poutfo,1024
zuelgu,1007
pipecu,917
sennda,878
conoci,872
pipeco,870
hameax,862
psycg1,845
psycg3,757
entesc,696
cestme,694
neeaam,657
theoca,642
ardife,638
ormocr,633
colugl,612
micoel,607
cecrlo,583
tri4ga,562
ingaru,528
psidfr,527
tri1gi,511
cedrod,430
malpro,430
ficuma,421
pochqu,390
ardigu,376
casegu,360
schipa,355
macrgl,303
ingami,302
pipea1,299
mar1la,294
solaas,290
hirtam,264
maclti,264
micoim,213
alchla,206
margno,197
cupaci,190
pipeae,190
psycde,172
psycac,172
tremin,163
lozapi,152
chimpa,141
ficuc1,135
aphesi,128
acacme,113
couthe,110
clidde,108
koanwe,106
cha1te,98
tremmi,96
ingam1,89
bactba,86
conobr,83
amaico,75
psycch,60
banagu,51
vismbi,50
ficuci,50
brosgu,47
ficubu,46
pipepe,45
pipeca,37
hamepa,37
ficupe,36
psycli,34
ficutr,26
micopr,18
psycps,18
micodo,16
verbgi,15
boropa,12
vismma,12
clidse,10
cespma,-1
bactc2,-1
solaar,-1
solast,-1
ormoam,-1
bactc1,-4
